¨id,kommun,post_ort_saved,personer_count,ratsit_link,created_at,updated_at
60,Göteborgs-Hisingen,1,143412,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Hisingen,,2025-11-17 12:06:40
61,Göteborgs-Nordost,1,87386,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Nordost,,2025-11-17 12:07:41
62,Göteborgs-Väster,1,92210,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-V%C3%A4ster,,2025-11-17 12:08:44
63,Göteborgs-Öster,1,86189,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-%C3%96ster,,2025-11-17 12:09:56
64,Götene,1,10968,https://www.ratsit.se/personer/G%C3%B6tene-kommun,,2025-11-17 12:10:48
65,Habo,1,18628,https://www.ratsit.se/personer/H%C3%A5bo-kommun,,2025-11-17 12:11:41
66,Hagfors,1,9728,https://www.ratsit.se/personer/Hagfors-kommun,,2025-11-17 12:12:38
67,Hallsbergs,1,13032,https://www.ratsit.se/personer/Hallsbergs-kommun,,2025-11-17 12:13:36
68,Hallstahammars,1,13470,https://www.ratsit.se/personer/Hallstahammars-kommun,,2025-11-17 12:14:28
69,Halmstads,1,87286,https://www.ratsit.se/personer/Halmstads-kommun,,2025-11-17 12:15:29
70,Hammarö,1,13180,https://www.ratsit.se/personer/Hammar%C3%B6-kommun,,2025-11-17 12:16:20
71,Haninge,1,80764,https://www.ratsit.se/personer/Haninge-kommun,,2025-11-17 12:17:19
72,Haparanda,1,7705,https://www.ratsit.se/personer/Haparanda-kommun,,2025-11-17 12:18:12
73,Heby,1,11777,https://www.ratsit.se/personer/Heby-kommun,,2025-11-17 12:19:05
74,Hedemora,1,12584,https://www.ratsit.se/personer/Hedemora-kommun,,2025-11-17 12:20:11
75,Helsingborgs,1,124757,https://www.ratsit.se/personer/Helsingborgs-kommun,,2025-11-17 12:21:20
76,Herrljunga,1,7894,https://www.ratsit.se/personer/Herrljunga-kommun,,2025-11-17 12:22:14
77,Hjo,1,7714,https://www.ratsit.se/personer/Hjo-kommun,,2025-11-17 12:23:08
78,Hofors,1,7703,https://www.ratsit.se/personer/Hofors-kommun,,2025-11-17 12:24:00
79,Huddinge,1,90982,https://www.ratsit.se/personer/Huddinge-kommun,,2025-11-17 12:25:04
80,Hudiksvalls,1,31473,https://www.ratsit.se/personer/Hudiksvalls-kommun,,2025-11-17 12:26:07
81,Hultsfreds,1,11214,https://www.ratsit.se/personer/Hultsfreds-kommun,,2025-11-17 12:27:03
82,Hylte,1,8236,https://www.ratsit.se/personer/Hylte-kommun,,2025-11-17 12:27:55
83,Hällefors,1,5342,https://www.ratsit.se/personer/H%C3%A4llefors-kommun,,2025-11-17 12:28:47
84,Härjedalens,1,8691,https://www.ratsit.se/personer/H%C3%A4rjedalens-kommun,,2025-11-17 15:58:10
85,Härnösands,1,20286,https://www.ratsit.se/personer/H%C3%A4rn%C3%B6sands-kommun,,2025-11-17 12:30:32
86,Härryda,1,31511,https://www.ratsit.se/personer/H%C3%A4rryda-kommun,,2025-11-17 12:31:27
87,Hässleholms,1,42794,https://www.ratsit.se/personer/H%C3%A4ssleholms-kommun,,2025-11-17 12:32:27
88,Höganäs,1,23538,https://www.ratsit.se/personer/H%C3%B6gan%C3%A4s-kommun,,2025-11-17 12:33:21
89,Högsby,1,4364,https://www.ratsit.se/personer/H%C3%B6gsby-kommun,,2025-11-17 12:34:13
90,Hörby,1,12874,https://www.ratsit.se/personer/H%C3%B6rby-kommun,,2025-11-17 12:35:05
91,Höörs,1,14145,https://www.ratsit.se/personer/H%C3%B6%C3%B6rs-kommun,,2025-11-17 12:35:57
92,Jokkmokks,1,4012,https://www.ratsit.se/personer/Jokkmokks-kommun,,2025-11-17 12:36:52
93,Järfälla,1,72730,https://www.ratsit.se/personer/J%C3%A4rf%C3%A4lla-kommun,,2025-11-17 12:37:53
94,Jönköpings,1,121348,https://www.ratsit.se/personer/J%C3%B6nk%C3%B6pings-kommun,,2025-11-17 12:38:59
95,Kalix,1,13087,https://www.ratsit.se/personer/Kalix-kommun,,2025-11-17 15:59:05
96,Kalmar,1,60013,https://www.ratsit.se/personer/Kalmar-kommun,,2025-11-17 16:00:05
97,Karlsborgs,1,6057,https://www.ratsit.se/personer/Karlsborgs-kommun,,2025-11-17 16:01:02
98,Karlshamns,1,26400,https://www.ratsit.se/personer/Karlshamns-kommun,,2025-11-17 16:02:02
99,Karlskoga,1,25215,https://www.ratsit.se/personer/Karlskoga-kommun,,2025-11-17 12:42:04
100,Karlskrona,1,55148,https://www.ratsit.se/personer/Karlskrona-kommun,,2025-11-17 12:43:08
