id,post_ort,post_nummer,post_nummer_count,post_nummer_link,created_at,updated_at
1742,Gävle,803 09,7,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80309,,
1743,Gävle,803 10,1183,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80310,,
1744,Gävle,803 11,1264,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80311,,
1745,Gävle,803 20,965,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80320,,
1746,Gävle,803 21,1622,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80321,,
1747,Gävle,803 22,6,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80322,,
1748,Gävle,803 23,1568,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80323,,
1749,Gävle,803 24,1409,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80324,,
1750,Gävle,803 25,529,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80325,,
1751,Gävle,804 23,742,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80423,,
1752,Gävle,804 24,736,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80424,,
1753,Gävle,804 25,450,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80425,,
1754,Gävle,804 26,806,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80426,,
1755,Gävle,804 27,703,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80427,,
1756,Gävle,804 28,452,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80428,,
1757,Gävle,804 29,1058,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80429,,
1758,Gävle,804 30,542,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80430,,
1759,Gävle,804 31,817,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80431,,
1760,Gävle,804 32,1165,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80432,,
1761,Gävle,804 33,974,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80433,,
1762,Gävle,804 34,517,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80434,,
1763,Gävle,805 91,582,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80591,,
1764,Gävle,805 92,821,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80592,,
1765,Gävle,805 95,1493,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80595,,
1766,Gävle,805 96,997,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80596,,
1767,Gävle,805 97,801,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80597,,
1768,Gävle,805 98,927,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80598,,
1769,Gävle,806 26,33,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80626,,
1770,Gävle,806 27,363,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80627,,
1771,Gävle,806 28,1655,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80628,,
