id,kommun,foretag_count,ratsit_link,created_at,updated_at,foretag_postort_saved
204,Staffanstorps kommun,3141,https://www.ratsit.se/foretag/Staffanstorps-kommun,2025-11-17 14:02:54,2025-11-17 14:02:54,0
205,Stenungsunds kommun,4171,https://www.ratsit.se/foretag/Stenungsunds-kommun,2025-11-17 14:02:55,2025-11-17 14:02:55,0
206,Stockholms kommun,213058,https://www.ratsit.se/foretag/Stockholms-kommun,2025-11-17 14:02:55,2025-11-17 14:02:55,0
207,Stockholm - Bandhagen mfl,13443,https://www.ratsit.se/foretag/Stockholms-kommun-Bandhagen-mfl,2025-11-17 14:02:56,2025-11-17 14:02:56,0
208,Stockholm - Bromma,14693,https://www.ratsit.se/foretag/Stockholms-kommun-Bromma,2025-11-17 14:02:56,2025-11-17 14:02:56,0
209,Stockholm - Essingeöarna mm,16267,https://www.ratsit.se/foretag/Stockholms-kommun-Essinge%C3%B6arna-mm,2025-11-17 14:02:57,2025-11-17 14:02:57,0
210,Stockholm - Farsta mfl,12744,https://www.ratsit.se/foretag/Stockholms-kommun-Farsta-mfl,2025-11-17 14:02:57,2025-11-17 14:02:57,0
211,Stockholm - Hägersten mfl,20014,https://www.ratsit.se/foretag/Stockholms-kommun-H%C3%A4gersten-mfl,2025-11-17 14:02:57,2025-11-17 14:02:57,0
212,Stockholm - Norrmalm mm,80553,https://www.ratsit.se/foretag/Stockholms-kommun-Norrmalm-mm,2025-11-17 14:02:58,2025-11-17 14:02:58,0
213,Stockholm - Spånga mfl,18662,https://www.ratsit.se/foretag/Stockholms-kommun-Sp%C3%A5nga-mfl,2025-11-17 14:02:58,2025-11-17 14:02:58,0
214,Stockholm - Södermalm mm,36682,https://www.ratsit.se/foretag/Stockholms-kommun-S%C3%B6dermalm-mm,2025-11-17 14:02:59,2025-11-17 14:02:59,0
215,Storfors kommun,582,https://www.ratsit.se/foretag/Storfors-kommun,2025-11-17 14:02:59,2025-11-17 14:02:59,0
216,Storumans kommun,1169,https://www.ratsit.se/foretag/Storumans-kommun,2025-11-17 14:02:59,2025-11-17 14:02:59,0
217,Strängnäs kommun,5629,https://www.ratsit.se/foretag/Str%C3%A4ngn%C3%A4s-kommun,2025-11-17 14:03:00,2025-11-17 14:03:00,0
218,Strömstads kommun,2469,https://www.ratsit.se/foretag/Str%C3%B6mstads-kommun,2025-11-17 14:03:00,2025-11-17 14:03:00,0
219,Strömsunds kommun,2672,https://www.ratsit.se/foretag/Str%C3%B6msunds-kommun,2025-11-17 14:03:01,2025-11-17 14:03:01,0
220,Sundbybergs kommun,7495,https://www.ratsit.se/foretag/Sundbybergs-kommun,2025-11-17 14:03:01,2025-11-17 14:03:01,0
221,Sundsvalls kommun,19432,https://www.ratsit.se/foretag/Sundsvalls-kommun,2025-11-17 14:03:02,2025-11-17 14:03:02,0
222,Sunne kommun,3846,https://www.ratsit.se/foretag/Sunne-kommun,2025-11-17 14:03:02,2025-11-17 14:03:02,0
223,Surahammars kommun,627,https://www.ratsit.se/foretag/Surahammars-kommun,2025-11-17 14:03:02,2025-11-17 14:03:02,0
224,Svalövs kommun,2212,https://www.ratsit.se/foretag/Sval%C3%B6vs-kommun,2025-11-17 14:03:03,2025-11-17 14:03:03,0
225,Svedala kommun,2754,https://www.ratsit.se/foretag/Svedala-kommun,2025-11-17 14:03:03,2025-11-17 14:03:03,0
226,Svenljunga kommun,2227,https://www.ratsit.se/foretag/Svenljunga-kommun,2025-11-17 14:03:04,2025-11-17 14:03:04,0
227,Säffle kommun,2812,https://www.ratsit.se/foretag/S%C3%A4ffle-kommun,2025-11-17 14:03:04,2025-11-17 14:03:04,0
228,Säters kommun,1513,https://www.ratsit.se/foretag/S%C3%A4ters-kommun,2025-11-17 14:03:04,2025-11-17 14:03:04,0
229,Sävsjö kommun,2122,https://www.ratsit.se/foretag/S%C3%A4vsj%C3%B6-kommun,2025-11-17 14:03:05,2025-11-17 14:03:05,0
230,Söderhamns kommun,3469,https://www.ratsit.se/foretag/S%C3%B6derhamns-kommun,2025-11-17 14:03:05,2025-11-17 14:03:05,0
231,Söderköpings kommun,2288,https://www.ratsit.se/foretag/S%C3%B6derk%C3%B6pings-kommun,2025-11-17 14:03:06,2025-11-17 14:03:06,0
232,Södertälje kommun,11333,https://www.ratsit.se/foretag/S%C3%B6dert%C3%A4lje-kommun,2025-11-17 14:03:06,2025-11-17 14:03:06,0
